pair,horizon,regressor,coef_std,fold_stability,merged_with
AUDUSD,1,evt_AUD_Gross_Domestic_Product_YoY,0.010318885873770854,1.0,evt_AUD_Gross_Domestic_Product_QoQ
AUDUSD,1,evt_AUD_Producer_Price_Index_YoY,0.02527748640386363,1.0,
AUDUSD,1,evt_AUD_Quarterly_RBA_Trimmed_Mean_CPI_YoY,0.048714396043908,1.0,evt_AUD_Quarterly_Consumer_Price_Index_QoQ; evt_AUD_Quarterly_Consumer_Price_Index_YoY; evt_AUD_Quarterly_RBA_Trimmed_Mean_CPI_QoQ
AUDUSD,1,evt_AUD_RBA_Interest_Rate_Decision,0.06697921985302653,1.0,evt_AUD_RBA_Rate_Statement
AUDUSD,1,evt_AUD_RBA_Meeting_Minutes,0.0046035834101959905,1.0,
AUDUSD,1,evt_AUD_RBAs_Governor_Lowe_speech,0.012520191478705386,1.0,
AUDUSD,1,evt_AUD_Retail_Sales_s_a_MoM,0.004574199337717361,1.0,
AUDUSD,1,evt_AUD_Unemployment_Rate_s_a,0.07060175902458442,1.0,evt_AUD_Employment_Change_s_a; evt_AUD_Full_Time_Employment; evt_AUD_Part_Time_Employment; evt_AUD_Participation_Rate
AUDUSD,1,evt_USD_Consumer_Confidence,0.006003884194144198,1.0,
AUDUSD,1,evt_USD_Consumer_Price_Index_ex_Food_Energy_YoY,0.04174641016413086,1.0,evt_USD_Consumer_Price_Index_MoM; evt_USD_Consumer_Price_Index_YoY; evt_USD_Consumer_Price_Index_ex_Food_Energy_MoM
AUDUSD,1,evt_USD_EIA_Crude_Oil_Stocks_Change,0.02811416423882634,1.0,
AUDUSD,1,evt_USD_FOMC_Economic_Projections,0.04686212819516921,1.0,
AUDUSD,1,evt_USD_FOMC_Minutes,0.02063686775568946,1.0,
AUDUSD,1,evt_USD_Fed_Interest_Rate_Decision,0.031023593779055825,1.0,
AUDUSD,1,evt_USD_Feds_Beige_Book,0.01048321017344405,1.0,
AUDUSD,1,evt_USD_Feds_Bullard_speech,0.0032064774902976377,1.0,
AUDUSD,1,evt_USD_Feds_Powell_speech,0.012747699137872473,1.0,
AUDUSD,1,evt_USD_Former_Feds_Chair_Bernanke_speech,0.013769032806505235,1.0,
AUDUSD,1,evt_USD_Goods_Trade_Balance,0.007272225828558248,1.0,
AUDUSD,1,evt_USD_ISM_Manufacturing_Prices_Paid,0.01415687800009717,1.0,evt_USD_ISM_Manufacturing_PMI
