pair,horizon,model,n_train,n_test,MSE,MAE,QLIKE,dMSE_pct_vs_HAR_DOW,n_selected,alpha
AUDUSD,1,HAR,3082,644,0.238857121132127,0.3689358908805266,0.1496813925214964,3.200861003190558,,
AUDUSD,1,HAR+DOW,3082,644,0.23144876778183324,0.36115624528424306,0.14454271918192288,0.0,,
AUDUSD,1,HAR-X-agg,3082,644,0.20697601352931927,0.347752926372427,0.11921709768522311,-10.5737241494335,,
AUDUSD,1,N-HAR,3082,644,0.209896301533578,0.3404097513113653,0.13039941686442424,-9.311981418095469,9.0,0.0331051309970249
AUDUSD,5,HAR,3082,640,0.1409868499854181,0.27791266834172,0.08751451283808001,0.6161487607363554,,
AUDUSD,5,HAR+DOW,3082,640,0.1401234808943867,0.27670963935024867,0.08673815102280849,0.0,,
AUDUSD,5,HAR-X-agg,3082,640,0.12591273122701047,0.26801403611285257,0.07403972646158669,-10.141590529061364,,
AUDUSD,5,N-HAR,3082,640,0.1401234808943867,0.2767096393502485,0.08673815102280859,0.0,0.0,0.05684412829214892
AUDUSD,22,HAR,3082,623,0.1023268964353602,0.2461768951605677,0.055189062995132904,0.48877840324228544,,
AUDUSD,22,HAR+DOW,3082,623,0.10182917740799068,0.2454616079126434,0.05498471997748984,0.0,,
AUDUSD,22,HAR-X-agg,3082,623,0.10548960995754154,0.26259898606764986,0.054680304544230604,3.594679484530167,,
AUDUSD,22,N-HAR,3082,623,0.10182917740799065,0.24546160791264296,0.05498471997748992,-2.7256996788280935e-14,0.0,0.07453289612362334
EURUSD,1,HAR,3083,327,0.3057235651449739,0.41819815387044273,0.2003086785191669,3.648618566640574,,
EURUSD,1,HAR+DOW,3083,327,0.294961543504229,0.40921700164102853,0.19036237529225086,0.0,,
EURUSD,1,HAR-X-agg,3083,327,0.23347445821306947,0.3659074140613312,0.14356326110811002,-20.845797238743412,,
EURUSD,1,N-HAR,3083,327,0.2805839916120232,0.3967712182490729,0.1827388794898267,-4.874381833440488,4.0,0.048585676757073586
EURUSD,5,HAR,3083,323,0.1339484050147968,0.28917793037544415,0.0710222209468572,0.030377070071389293,,
EURUSD,5,HAR+DOW,3083,323,0.13390772777050094,0.28845352318147244,0.07086594397059463,0.0,,
EURUSD,5,HAR-X-agg,3083,323,0.11334439075653065,0.27444664425640725,0.057400960152124474,-15.356348252890207,,
EURUSD,5,N-HAR,3083,323,0.13390772777050103,0.2884535231814726,0.07086594397059455,6.218216695424347e-14,0.0,0.058098312145440346
EURUSD,22,HAR,3083,306,0.11397138044411302,0.27545843742304826,0.05759891216279033,0.11489879977018008,,
EURUSD,22,HAR+DOW,3083,306,0.1138405789852076,0.27475895442756665,0.05755700971632787,0.0,,
EURUSD,22,HAR-X-agg,3083,306,0.10318503920574232,0.26017530067458466,0.052474073132340135,-9.360054098855077,,
EURUSD,22,N-HAR,3083,306,0.1138405789852076,0.2747589544275666,0.05755700971632785,0.0,0.0,0.06029100231835195
GBPUSD,1,HAR,3082,645,0.22308029547489777,0.3625196651753708,0.13207989832638528,2.087497598062495,,
GBPUSD,1,HAR+DOW,3082,645,0.21851872239361422,0.35810851112155223,0.13036354670650882,0.0,,
GBPUSD,1,HAR-X-agg,3082,645,0.20133253045700758,0.34914088274587984,0.1131055916799311,-7.864860158595214,,
GBPUSD,1,N-HAR,3082,645,0.21563637415955994,0.3544052431240967,0.1289546936446343,-1.3190394866314272,4.0,0.051918712484360974
GBPUSD,5,HAR,3082,641,0.11164210910462094,0.2636449613562378,0.05838457040454221,0.12465587776145436,,
GBPUSD,5,HAR+DOW,3082,641,0.11150311391923357,0.26284844101883176,0.058270121845229346,0.0,,
GBPUSD,5,HAR-X-agg,3082,641,0.12872214759399045,0.29570918438618515,0.061543890264219976,15.442648253957607,,
GBPUSD,5,N-HAR,3082,641,0.11150311391923348,0.2628484410188314,0.05827012184522938,-7.467659325388918e-14,0.0,0.05445663319179018
GBPUSD,22,HAR,3082,624,0.08628258969412805,0.23823709549400965,0.04128518915293506,0.11347290713010802,,
GBPUSD,22,HAR+DOW,3082,624,0.08618479330366231,0.2378052659319652,0.04129358907271077,0.0,,
GBPUSD,22,HAR-X-agg,3082,624,0.1492461053849324,0.3361524801496002,0.06492249076580672,73.16988260223673,,
GBPUSD,22,N-HAR,3082,624,0.0861847933036621,0.23780526593196477,0.04129358907271071,-2.415354369810516e-13,0.0,0.0959138110830889
USDCHF,1,HAR,3081,645,0.25958285211536003,0.38269023243358163,0.16924188005320923,1.131206024946714,,
USDCHF,1,HAR+DOW,3081,645,0.256679280628105,0.3808250097722728,0.16501688477338253,0.0,,
USDCHF,1,HAR-X-agg,3081,645,0.2267959567640075,0.3644257560778397,0.13431022581158278,-11.642281290087684,,
USDCHF,1,N-HAR,3081,645,0.2566792806281051,0.3808250097722728,0.16501688477338256,2.1626658410222944e-14,0.0,0.07131688648265988
USDCHF,5,HAR,3081,641,0.14005288916902225,0.2732936473206557,0.08705589641799649,-0.09681436081576582,,
USDCHF,5,HAR+DOW,3081,641,0.140188611877548,0.27389282148419525,0.08700602475783638,0.0,,
USDCHF,5,HAR-X-agg,3081,641,0.13142197617221374,0.27154597772675115,0.07837542851047179,-6.253457815098235,,
USDCHF,5,N-HAR,3081,641,0.14018861187754805,0.27389282148419525,0.08700602475783648,3.9597475492335806e-14,0.0,0.060361228103463095
USDCHF,22,HAR,3081,624,0.10965465666927343,0.23926309360659095,0.0659393220545865,-0.09706659481593884,,
USDCHF,22,HAR+DOW,3081,624,0.10976119812672422,0.23847749126189471,0.06595275342894318,0.0,,
USDCHF,22,HAR-X-agg,3081,624,0.11436388446757921,0.2423345614413317,0.07113107814565921,4.193363792859644,,
USDCHF,22,N-HAR,3081,624,0.1097611981267243,0.2384774912618949,0.06595275342894323,7.586171458401135e-14,0.0,0.054212756808519724
USDJPY,1,HAR,3082,645,0.4089074925411478,0.4689178735288531,0.32553962813727594,1.5800325853899932,,
USDJPY,1,HAR+DOW,3082,645,0.4025471169222286,0.46421452839877264,0.3164500429875664,0.0,,
USDJPY,1,HAR-X-agg,3082,645,0.3659840239185221,0.44422735926857143,0.2689519624687444,-9.082935007275298,,
USDJPY,1,N-HAR,3082,645,0.3863900771084817,0.4521688924444059,0.3042562959935781,-4.013701535680952,4.0,0.054737049926720405
USDJPY,5,HAR,3082,641,0.2567215531409571,0.3691243964431435,0.16525415073095118,-0.023165962303874892,,
USDJPY,5,HAR+DOW,3082,641,0.2567810389396414,0.3689718913008161,0.1660076473771764,0.0,,
USDJPY,5,HAR-X-agg,3082,641,0.2437427888667284,0.36279166665978346,0.14839846861294625,-5.077575091507335,,
