pair,horizon,regressor,coef_std,fold_stability,merged_with
AUDUSD,1,evt_AUD_Quarterly_RBA_Trimmed_Mean_CPI_YoY,0.019921560557214883,1.0,evt_AUD_Quarterly_Consumer_Price_Index_QoQ; evt_AUD_Quarterly_Consumer_Price_Index_YoY; evt_AUD_Quarterly_RBA_Trimmed_Mean_CPI_QoQ
AUDUSD,1,evt_AUD_RBA_Interest_Rate_Decision,0.03453814155226922,1.0,evt_AUD_RBA_Rate_Statement
AUDUSD,1,evt_AUD_Unemployment_Rate_s_a,0.04519310576950592,1.0,evt_AUD_Employment_Change_s_a; evt_AUD_Full_Time_Employment; evt_AUD_Part_Time_Employment; evt_AUD_Participation_Rate
AUDUSD,1,evt_USD_Consumer_Price_Index_n_s_a_MoM,0.01405361047447385,1.0,evt_USD_Consumer_Price_Index_Core_s_a; evt_USD_Consumer_Price_Index_MoM; evt_USD_Consumer_Price_Index_YoY; evt_USD_Consumer_Price_Index_ex_Food_Energy_MoM; evt_USD_Consumer_Price_Index_ex_Food_Energy_YoY
AUDUSD,1,evt_USD_FOMC_Economic_Projections,0.01950970653973596,1.0,
AUDUSD,1,evt_USD_Fed_Interest_Rate_Decision,0.039790350234201466,1.0,
AUDUSD,1,evt_USD_Unemployment_Rate,0.035904525971393264,1.0,evt_USD_Average_Hourly_Earnings_MoM; evt_USD_Average_Hourly_Earnings_YoY; evt_USD_Average_Weekly_Hours; evt_USD_Labor_Force_Participation_Rate; evt_USD_Nonfarm_Payrolls
AUDUSD,1,evt_USD_Fed_Monetary_Policy_Statement,0.006036017407670058,0.9,
AUDUSD,1,evt_USD_Labor_Market_Conditions_Index,-0.006462478277580532,0.9,
AUDUSD,1,evt_USD_Total_Vehicle_Sales,0.003878722236739802,0.9,
AUDUSD,1,evt_USD_ISM_Manufacturing_Prices_Paid,0.0026828752471489466,0.7,evt_USD_Construction_Spending_MoM; evt_USD_ISM_Manufacturing_PMI
AUDUSD,1,evt_USD_30_Year_Bond_Auction,0.000662649243550467,0.5,
EURUSD,1,evt_EUR_ECB_Main_Refinancing_Operations_Rate,0.08135000758889137,1.0,evt_EUR_ECB_Press_Conference
EURUSD,1,evt_USD_Chicago_PMI,0.004923800672608626,1.0,evt_EUR_Current_Account_Balance
EURUSD,1,evt_USD_Consumer_Price_Index_n_s_a_MoM,0.01043265713285432,1.0,evt_USD_Consumer_Price_Index_Core_s_a; evt_USD_Consumer_Price_Index_MoM; evt_USD_Consumer_Price_Index_YoY; evt_USD_Consumer_Price_Index_ex_Food_Energy_MoM; evt_USD_Consumer_Price_Index_ex_Food_Energy_YoY
EURUSD,1,evt_USD_FOMC_Economic_Projections,0.016885000794761143,1.0,
EURUSD,1,evt_USD_Fed_Interest_Rate_Decision,0.036172145953719134,1.0,
EURUSD,1,evt_USD_Unemployment_Rate,0.036284104173751254,1.0,evt_USD_Average_Hourly_Earnings_MoM; evt_USD_Average_Hourly_Earnings_YoY; evt_USD_Average_Weekly_Hours; evt_USD_Labor_Force_Participation_Rate; evt_USD_Nonfarm_Payrolls
GBPUSD,1,evt_GBP_BoE_Monetary_Policy_Report,0.01213110508931475,1.0,
GBPUSD,1,evt_USD_FOMC_Economic_Projections,0.012786554222756959,1.0,
GBPUSD,1,evt_GBP_BoE_Minutes,0.017290572349522065,0.9,
GBPUSD,1,evt_GBP_BoE_MPC_Vote_Rate_Unchanged,0.004284142415880863,0.8,evt_GBP_BoE_MPC_Vote_Rate_Cut; evt_GBP_BoE_MPC_Vote_Rate_Hike
GBPUSD,1,evt_GBP_BoE_Monetary_Policy_Summary,0.00028784695564411573,0.2,
USDJPY,1,evt_USD_Fed_Interest_Rate_Decision,0.01622972635482269,1.0,
USDJPY,1,evt_USD_Unemployment_Rate,0.041838661923479833,1.0,evt_USD_Average_Hourly_Earnings_MoM; evt_USD_Average_Hourly_Earnings_YoY; evt_USD_Average_Weekly_Hours; evt_USD_Labor_Force_Participation_Rate; evt_USD_Nonfarm_Payrolls
USDJPY,1,evt_JPY_BoJ_Monetary_Policy_Statement,0.04189903682305637,0.9,evt_JPY_BoJ_Interest_Rate_Decision
USDJPY,1,evt_USD_FOMC_Economic_Projections,0.008913140380732749,0.9,
USDJPY,1,evt_JPY_BoJ_Outlook_Report,0.00019072592569842242,0.5,
