date,lnRV
2012-01-12,-1.4848567059934068
2012-01-13,-1.0757074245076044
2012-01-16,-1.5455618136064386
2012-01-17,-1.487149187358892
2012-01-18,-1.2580794923940233
2012-01-19,-1.6163274805138819
2012-01-20,-1.2679785794413105
2012-01-23,-1.3686651498702855
2012-01-24,-1.124607192301955
2012-01-25,-1.2500926246047523
2012-01-26,-1.4290333340751245
2012-01-27,-1.1048260196376738
2012-01-30,-1.636810167493413
2012-01-31,-1.3876863454840056
2012-02-01,-1.1134336664453002
2012-02-02,-1.1257431472492148
2012-02-03,-1.3933473335747468
2012-02-06,-1.417807573787879
2012-02-07,-1.4853555568104153
2012-02-08,-1.4556565758869855
2012-02-09,-1.2255753208372335
2012-02-10,-1.6480443618438256
2012-02-13,-1.8300111578734313
2012-02-14,-1.8094385879387573
2012-02-15,-1.4697367043553093
2012-02-16,-1.5486601498292971
2012-02-17,-1.8701169513676525
2012-02-20,-1.6271732311402507
2012-02-21,-1.182696195061371
2012-02-22,-1.1877458300531731
2012-02-23,-1.773927413956272
2012-02-24,-1.791851160833221
2012-02-27,-1.896055104510873
2012-02-28,-1.922175055236715
2012-02-29,-1.2023763581487992
2012-03-01,-1.8407074957684801
2012-03-02,-1.8942007086706132
2012-03-05,-1.5781816955991939
2012-03-06,-1.7939376692739242
2012-03-07,-2.257758829582238
2012-03-08,-1.7053750360749773
2012-03-09,-1.4889056863506156
2012-03-12,-1.6121168808769426
2012-03-13,-1.5474125464155242
2012-03-14,-1.6467438927889215
2012-03-15,-1.5561125505574827
2012-03-16,-1.6584420296317384
2012-03-19,-1.8981841967744226
2012-03-20,-1.8494505624123643
2012-03-21,-1.452383931293005
2012-03-22,-1.7898747783625004
2012-03-23,-1.9201380760057203
2012-03-26,-1.6859338288288135
2012-03-27,-1.9304364858046463
2012-03-28,-1.643881811854864
2012-03-29,-1.9657252824744942
2012-03-30,-1.555741582677272
2012-04-02,-1.7333907332421397
2012-04-03,-1.7728105001918175
2012-04-04,-1.5662148539942504
2012-04-05,-1.841285000312941
2012-04-06,-1.8325970256553936
2012-04-10,-1.6775921461501646
2012-04-11,-1.9686049828782377
2012-04-12,-1.9232467865768144
2012-04-13,-2.0017586871083126
2012-04-16,-1.546420238741783
2012-04-17,-2.0051327000165866
2012-04-18,-1.3444804337431602
2012-04-19,-1.8894638410184132
2012-04-20,-1.6140337493566652
2012-04-23,-2.2017466775601138
2012-04-24,-2.084147654426056
2012-04-25,-1.2575112210650354
2012-04-26,-2.136497430962296
2012-04-27,-1.545142927089816
2012-04-30,-2.2764184999180155
2012-05-01,-2.162176465803268
2012-05-02,-1.8754896533835568
2012-05-03,-2.0501189001132065
2012-05-04,-2.4881434735427184
2012-05-07,-1.752582103696229
2012-05-08,-2.159511991956203
2012-05-09,-1.8976919127180294
2012-05-10,-1.5503417663456514
2012-05-11,-2.0259625617880563
2012-05-14,-1.86303102485026
2012-05-15,-1.7024734344529244
2012-05-16,-1.1530285535670404
2012-05-17,-1.7895215205219288
2012-05-18,-1.629248072740538
2012-05-21,-1.7821607568684878
2012-05-22,-1.6529488835671442
2012-05-23,-1.324912235457443
2012-05-24,-1.4824497283465268
2012-05-25,-1.7018007197198708
2012-05-28,-1.7707847321991657
2012-05-29,-1.8344271254358804
2012-05-30,-1.5319927719593447
2012-05-31,-1.801729206797666
2012-06-01,-0.9473770110532651
2012-06-05,-1.8173403014429148
2012-06-06,-1.4101301980115082
2012-06-07,-1.0370605799527683
2012-06-08,-1.7295172284710683
2012-06-11,-1.4813037729657765
2012-06-12,-1.5463764818275116
2012-06-13,-1.704843917185921
2012-06-14,-1.5566857723988323
2012-06-15,-1.444445119112497
2012-06-18,-1.201964402958877
2012-06-19,-1.8156420753502263
2012-06-20,-1.389501706624494
2012-06-21,-1.5968603895139362
2012-06-22,-1.8829989966679201
2012-06-25,-2.1784472256228327
2012-06-26,-1.9244291761659897
2012-06-27,-2.451809469010857
2012-06-28,-1.882392532689304
2012-06-29,-0.6298295822147538
2012-07-02,-1.3160175006672612
2012-07-03,-1.9318850448829739
2012-07-04,-2.06543212019321
2012-07-05,-1.4006234444724472
2012-07-06,-2.1097286181588304
2012-07-09,-1.819116284502089
2012-07-10,-2.3657380107973585
2012-07-11,-2.142975875613326
2012-07-12,-2.04487741828765
2012-07-13,-1.4368256839520281
2012-07-16,-2.107588705007882
2012-07-17,-1.7142707483543755
2012-07-18,-1.719557119621776
2012-07-19,-1.9052282173515853
2012-07-20,-1.9309283052222714
2012-07-23,-1.8494929434580645
2012-07-24,-2.1204725861917186
2012-07-25,-1.0911696917848652
2012-07-26,-1.5198010815843992
2012-07-27,-0.952077028760857
2012-07-30,-1.840695049222976
2012-07-31,-1.7851413948304031
2012-08-01,-1.5249015958356418
2012-08-02,-0.6870267161038119
2012-08-03,-1.496570449444319
2012-08-06,-1.6510692295319849
2012-08-07,-2.261726434883947
2012-08-08,-1.466996385771645
2012-08-09,-1.9144526820545178
2012-08-10,-2.1597820670780377
2012-08-13,-2.3646780554218014
2012-08-14,-2.1215883695711146
2012-08-15,-1.923022176126242
2012-08-16,-2.2042991699411525
2012-08-17,-2.0930290505724916
2012-08-20,-2.2485026656489557
2012-08-21,-1.827776377170996
2012-08-22,-2.0192577252583086
2012-08-23,-2.0250321046641524
2012-08-24,-1.8060745645877794
2012-08-27,-2.525441814264219
2012-08-28,-2.217037371611578
2012-08-29,-2.552952424431741
2012-08-30,-2.444108289949557
2012-08-31,-1.8016705129954929
2012-09-03,-1.9906247042537741
2012-09-04,-2.15436502827464
2012-09-05,-2.1888776756156805
2012-09-06,-1.5508702977325988
2012-09-07,-1.5070004086609714
2012-09-10,-2.1284110682285218
2012-09-11,-2.0642135878805297
2012-09-12,-1.6376802145439273
2012-09-13,-1.822824732714734
2012-09-14,-1.6785967465247038
2012-09-17,-1.7415167186299285
2012-09-18,-1.968467088002828
2012-09-19,-2.0040416443135634
2012-09-20,-2.009219561752336
2012-09-21,-1.6810896185563209
2012-09-24,-1.8464265103718889
2012-09-25,-1.93845055075726
