date,lnRV
2012-01-12,-1.4539673435697829
2012-01-13,-0.6420012258004699
2012-01-16,-1.3288883461278307
2012-01-17,-1.5543045707419798
2012-01-18,-1.146550781933922
2012-01-19,-1.6975500634332807
2012-01-20,-1.650636591237315
2012-01-23,-1.5147668027891616
2012-01-24,-1.4844772167154008
2012-01-25,-0.9501259881233288
2012-01-26,-1.5017228018721367
2012-01-27,-1.2466230124146078
2012-01-30,-1.7963052648174251
2012-01-31,-1.608606084371792
2012-02-01,-1.3512561785537092
2012-02-02,-1.7182763215263712
2012-02-03,-1.2647638541996284
2012-02-06,-1.5390127005668974
2012-02-07,-1.505102846788696
2012-02-08,-1.4587241067993482
2012-02-09,-1.4217230145325752
2012-02-10,-1.5509090530128853
2012-02-13,-1.9150771023461863
2012-02-14,-1.3037544703962813
2012-02-15,-1.4686060044351605
2012-02-16,-1.5754990909823439
2012-02-17,-1.7488939701114286
2012-02-20,-1.5652136137175645
2012-02-21,-1.1288883130132858
2012-02-22,-1.4077787108563586
2012-02-23,-1.8633659389971624
2012-02-24,-1.571503933744871
2012-02-27,-1.5799022823455489
2012-02-28,-1.5425748618487556
2012-02-29,-1.0366223086483737
2012-03-01,-1.5348838637606148
2012-03-02,-1.590332153717261
2012-03-05,-1.6769320314271434
2012-03-06,-1.4093085477819876
2012-03-07,-1.89295708295475
2012-03-08,-1.6397668005253456
2012-03-09,-1.344325736517643
2012-03-12,-1.502882729256479
2012-03-13,-1.2823277431448041
2012-03-14,-0.994097494477129
2012-03-15,-1.3523303449887725
2012-03-16,-1.341662512582587
2012-03-19,-1.9787590790355518
2012-03-20,-1.6539429065676312
2012-03-21,-1.4076987819568545
2012-03-22,-1.6951047722162418
2012-03-23,-1.4578294880859484
2012-03-26,-1.4898630699916693
2012-03-27,-1.8743961693293891
2012-03-28,-1.5340388577193906
2012-03-29,-1.6619714782624884
2012-03-30,-1.260893824480531
2012-04-02,-1.7184186758695632
2012-04-03,-1.79936119403474
2012-04-04,-1.5882658367751423
2012-04-05,-1.7393166514898943
2012-04-06,-2.2893715611001566
2012-04-10,-1.6430140178290324
2012-04-11,-1.4753731162178492
2012-04-12,-2.0065317796469233
2012-04-13,-1.8957577853196665
2012-04-16,-1.8446680220866425
2012-04-17,-2.058964772784052
2012-04-18,-1.4558148489119236
2012-04-19,-2.0406710468819864
2012-04-20,-1.6445146766924392
2012-04-23,-2.285810015692415
2012-04-24,-2.173563372763807
2012-04-25,-1.3073744716547526
2012-04-26,-2.267111613452054
2012-04-27,-1.88350210327488
2012-04-30,-2.662138198441678
2012-05-01,-2.1166162151427605
2012-05-02,-1.8867199264843892
2012-05-03,-2.4179166186121
2012-05-04,-2.235585727601172
2012-05-07,-2.2750370500620565
2012-05-08,-2.4077504991378897
2012-05-09,-1.9627901220913941
2012-05-10,-1.913711124977831
2012-05-11,-2.0216446786278377
2012-05-14,-2.0518296164588428
2012-05-15,-2.201967792309721
2012-05-16,-1.030902419056376
2012-05-17,-1.6144029011065928
2012-05-18,-1.4222144547866544
2012-05-21,-1.6976258990426736
2012-05-22,-1.5846538779566317
2012-05-23,-1.648647539556385
2012-05-24,-1.672147180565514
2012-05-25,-1.809591257703981
2012-05-28,-2.1712869652776625
2012-05-29,-2.002293031078899
2012-05-30,-1.4794980363511496
