date,lnRV
2012-01-12,-2.6952055913327064
2012-01-13,-2.2290806580181086
2012-01-16,-2.721354075924971
2012-01-17,-2.368169591692152
2012-01-18,-2.6717325464746247
2012-01-19,-2.292899030131472
2012-01-20,-1.6692301708031925
2012-01-23,-2.653959516344475
2012-01-24,-1.328432468451877
2012-01-25,-0.6441273434744363
2012-01-26,-1.5536681344898857
2012-01-27,-1.1074996669313109
2012-01-30,-2.1492201987673627
2012-01-31,-1.5905919503734036
2012-02-01,-2.089968640632402
2012-02-02,-2.5467185530360417
2012-02-03,-1.4839066360822073
2012-02-06,-2.0961157089431626
2012-02-07,-1.9408329694689461
2012-02-08,-1.6645557529360224
2012-02-09,-1.602012711329228
2012-02-10,-2.0119427922848363
2012-02-13,-1.9036151522481994
2012-02-14,-1.0082098401803752
2012-02-15,-1.1664522515283826
2012-02-16,-1.752731443688893
2012-02-17,-1.6431471297028306
2012-02-20,-1.2187103630177576
2012-02-21,-1.7633791910045833
2012-02-22,-1.480393373610134
2012-02-23,-1.5288546573184485
2012-02-24,-1.081231742619851
2012-02-27,-0.16975134894715294
2012-02-28,-0.5694116061198965
2012-02-29,-0.849760473448752
2012-03-01,-0.8415633803904493
2012-03-02,-1.2078183909595648
2012-03-05,-0.923208074268701
2012-03-06,-1.018315612728458
2012-03-07,-1.006090465153127
2012-03-08,-0.980667796581423
2012-03-09,-0.5303739069570612
2012-03-12,-1.4044291484255227
2012-03-13,-0.6151789743987129
2012-03-14,-1.1796050510115537
2012-03-15,-0.5888158218089575
2012-03-16,-0.6764306760460201
2012-03-19,-1.2020348610012912
2012-03-20,-1.300081284701468
2012-03-21,-1.1743455119165715
2012-03-22,-0.2391845783432811
2012-03-23,-0.9805458945156156
2012-03-26,-0.9733069573282042
2012-03-27,-1.1215642143962532
2012-03-28,-0.89970673742116
2012-03-29,-0.9551216803107143
2012-03-30,-0.6108192324880497
2012-04-02,-0.6022714196215113
2012-04-03,-0.30282846248016415
2012-04-04,-0.8735277647887975
2012-04-05,-1.094305539684012
2012-04-06,0.07873388382930746
2012-04-10,-0.6861687013807252
2012-04-11,-0.9598547364100135
2012-04-12,-1.509265324150102
2012-04-13,-1.5214278505002305
2012-04-16,-1.3306882104510565
2012-04-17,-1.5895335147117835
2012-04-18,-1.464979844302797
2012-04-19,-1.3522130132078034
2012-04-20,-1.8708072813175463
2012-04-23,-1.8195126907300716
2012-04-24,-1.6467574836557226
2012-04-25,-1.0928539164621889
2012-04-26,-1.3945707904631972
2012-04-27,-0.38837260005016166
2012-04-30,-1.7832847432838583
2012-05-01,-1.0912626228377371
2012-05-02,-1.5735263740530852
2012-05-03,-1.895684323987526
2012-05-04,-1.6350339156103766
2012-05-07,-1.5354132461139463
2012-05-08,-2.04330159454381
2012-05-09,-2.004975046370461
2012-05-10,-1.8499230960612958
2012-05-11,-2.0610051736249226
2012-05-14,-1.941993649768553
2012-05-15,-2.010674506378219
2012-05-16,-1.9665857526255
2012-05-17,-0.5600210956697709
2012-05-18,-1.6224172887138764
