date,n_events,n_events_high,n_events_medium,n_events_low,n_events_eur,n_events_eur_high,n_events_usd,n_events_usd_high,event_score,evt_EUR_10_y_Bond_Auction,evt_EUR_10_y_Obligaciones_Auction,evt_EUR_Consumer_Price_Index_MoM,evt_EUR_Consumer_Price_Index_YoY,evt_EUR_Core_Harmonized_Index_of_Consumer_Prices_MoM,evt_EUR_Core_Harmonized_Index_of_Consumer_Prices_YoY,evt_EUR_ECB_Bank_Lending_Survey,evt_EUR_ECB_Main_Refinancing_Operations_Rate,evt_EUR_ECB_Monetary_Policy_Meeting_Accounts,evt_EUR_ECB_Monetary_Policy_Statement,evt_EUR_ECB_Monthly_Report,evt_EUR_ECB_Press_Conference,evt_EUR_ECB_Rate_On_Deposit_Facility,evt_EUR_ECBs_De_Guindos_speech,evt_EUR_ECBs_Nagel_speech,evt_EUR_ECBs_President_Draghi_speech,evt_EUR_ECBs_President_Lagarde_speech,evt_EUR_EU_leaders_summit,evt_EUR_EcoFin_Meeting,evt_EUR_Eurogroup_Meeting,evt_EUR_European_Commission_releases_Economic_Growth_Forecasts,evt_EUR_European_Council_Meeting,evt_EUR_G20_Meeting,evt_EUR_G7_Meeting,evt_EUR_German_Buba_President_Weidmann_speech,evt_EUR_Gross_Domestic_Product_QoQ,evt_EUR_Gross_Domestic_Product_YoY,evt_EUR_Gross_Domestic_Product_s_a_QoQ,evt_EUR_Gross_Domestic_Product_s_a_YoY,evt_EUR_Gross_Domestic_Product_w_d_a_YoY,evt_EUR_HCOB_Composite_PMI,evt_EUR_HCOB_Manufacturing_PMI,evt_EUR_HCOB_Services_PMI,evt_EUR_Harmonized_Index_of_Consumer_Prices_MoM,evt_EUR_Harmonized_Index_of_Consumer_Prices_YoY,evt_EUR_IFO_Business_Climate,evt_EUR_Non_Monetary_Policy_ECB_Meeting,evt_EUR_Producer_Price_Index_MoM,evt_EUR_Producer_Price_Index_YoY,evt_EUR_Retail_Sales_MoM,evt_EUR_Retail_Sales_YoY,evt_EUR_Unemployment_Change,evt_EUR_Unemployment_Rate,evt_EUR_Unemployment_Rate_s_a,evt_EUR_ZEW_Survey_Current_Situation,evt_EUR_ZEW_Survey_Economic_Sentiment,evt_USD_10_Year_Note_Auction,evt_USD_ADP_Employment_Change,evt_USD_Average_Hourly_Earnings_MoM,evt_USD_Average_Hourly_Earnings_YoY,evt_USD_Average_Weekly_Hours,evt_USD_Consumer_Confidence,evt_USD_Consumer_Price_Index_MoM,evt_USD_Consumer_Price_Index_YoY,evt_USD_Consumer_Price_Index_ex_Food_Energy_MoM,evt_USD_Consumer_Price_Index_ex_Food_Energy_YoY,evt_USD_Core_Personal_Consumption_Expenditures_QoQ,evt_USD_Core_Personal_Consumption_Expenditures_Price_Index_MoM,evt_USD_Core_Personal_Consumption_Expenditures_Price_Index_YoY,evt_USD_Durable_Goods_Orders,evt_USD_Durable_Goods_Orders_ex_Defense,evt_USD_Durable_Goods_Orders_ex_Transportation,evt_USD_EIA_Crude_Oil_Stocks_Change,evt_USD_FOMC_Economic_Projections,evt_USD_FOMC_Minutes,evt_USD_FOMC_Press_Conference,evt_USD_Fed_Interest_Rate_Decision,evt_USD_Fed_Monetary_Policy_Statement,evt_USD_Feds_Beige_Book,evt_USD_Feds_Bullard_speech,evt_USD_Feds_Chair_Powell_testifies,evt_USD_Feds_Chair_Yellen_speech,evt_USD_Feds_Goolsbee_speech,evt_USD_Feds_Kashkari_speech,evt_USD_Feds_Logan_speech,evt_USD_Feds_Powell_speech,evt_USD_Feds_Stanley_Fischer_speech,evt_USD_Former_Feds_Chair_Bernanke_speech,evt_USD_Goods_Trade_Balance,evt_USD_Gross_Domestic_Product_Annualized,evt_USD_Gross_Domestic_Product_Price_Index,evt_USD_IMF_Meeting,evt_USD_ISM_Manufacturing_PMI,evt_USD_ISM_Manufacturing_Prices_Paid,evt_USD_ISM_Services_Employment_Index,evt_USD_ISM_Services_PMI,evt_USD_Initial_Jobless_Claims,evt_USD_Jackson_Hole_Symposium,evt_USD_Labor_Force_Participation_Rate,evt_USD_Michigan_Consumer_Sentiment_Index,evt_USD_Nondefense_Capital_Goods_Orders_ex_Aircraft,evt_USD_Nonfarm_Payrolls,evt_USD_OPEC_Meeting,evt_USD_Personal_Consumption_Expenditures_Prices_QoQ,evt_USD_President_Biden_speech,evt_USD_President_Trump_speech,evt_USD_Producer_Price_Index_MoM,evt_USD_Producer_Price_Index_YoY,evt_USD_Producer_Price_Index_ex_Food_Energy_MoM,evt_USD_Producer_Price_Index_ex_Food_Energy_YoY,evt_USD_Retail_Sales_MoM,evt_USD_Retail_Sales_Control_Group,evt_USD_Retail_Sales_ex_Autos_MoM,evt_USD_S_P_Global_Composite_PMI,evt_USD_S_P_Global_Manufacturing_PMI,evt_USD_S_P_Global_Services_PMI,evt_USD_Treasury_Sec_Lew_speech,evt_USD_Unemployment_Rate
2012-01-12,19,2,7,10,13,2,6,0,30,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2012-01-13,11,0,5,6,6,0,5,0,16,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-16,7,0,3,4,7,0,0,0,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-17,9,1,5,3,8,1,1,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-18,14,0,3,11,4,0,10,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
2012-01-19,16,3,4,9,4,1,12,2,26,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-20,8,0,3,5,6,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-23,3,0,2,1,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-24,11,0,5,6,10,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-25,14,3,4,7,7,0,7,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
