date,ln_RV
1/4/2010,-0.860657588
1/5/2010,-1.002449936
1/6/2010,-0.729599929
1/7/2010,-1.070281311
1/8/2010,-0.54708986
1/11/2010,-0.844610446
1/12/2010,-0.960847817
1/13/2010,-1.087497108
1/14/2010,-1.275074587
1/15/2010,-1.043474421
1/18/2010,-1.966565639
1/19/2010,-1.226641326
1/20/2010,-0.604642527
1/21/2010,-0.466246403
1/22/2010,-0.847238546
1/25/2010,-1.246624499
1/26/2010,-1.087925623
1/27/2010,-0.995061465
1/28/2010,-0.984281578
1/29/2010,-1.020777383
2/1/2010,-1.29584019
2/2/2010,-1.447656854
2/3/2010,-1.577120259
2/4/2010,-1.084879149
2/5/2010,-0.21692721
2/8/2010,-0.972207498
2/9/2010,-0.322871738
2/10/2010,-0.65347524
2/11/2010,-0.701888505
2/12/2010,-0.435160874
2/15/2010,-1.762726568
2/16/2010,-0.98142977
2/17/2010,-0.98036583
2/18/2010,-0.368424304
2/19/2010,-0.484478396
2/22/2010,-1.01375338
2/23/2010,-0.674833812
2/24/2010,-0.843120659
2/25/2010,-0.707664264
2/26/2010,-0.734654039
3/1/2010,-0.278444748
3/2/2010,-0.338129713
3/3/2010,-0.699393825
3/4/2010,-0.825997235
3/5/2010,-1.114325569
3/8/2010,-1.394246478
3/9/2010,-1.31206656
3/10/2010,-1.351740967
3/11/2010,-1.185100703
3/12/2010,-1.216557295
3/15/2010,-1.483944525
3/16/2010,-1.088378404
3/17/2010,-1.49589479
3/18/2010,-1.028891705
3/19/2010,-1.476758847
3/22/2010,-1.241588695
3/23/2010,-1.059019096
3/24/2010,-0.620755401
3/25/2010,-0.689794946
3/26/2010,-0.943785006
3/29/2010,-1.071633271
3/30/2010,-1.20484333
3/31/2010,-1.122842432
4/1/2010,-0.946848347
4/2/2010,-1.735139822
4/5/2010,-1.354614585
4/6/2010,-1.266532416
4/7/2010,-1.413401639
4/8/2010,-1.409387581
4/9/2010,-0.82193505
4/12/2010,-0.796953041
4/13/2010,-1.12956214
4/14/2010,-1.191430737
4/15/2010,-1.348893505
4/16/2010,-1.034377405
4/19/2010,-1.403449362
4/20/2010,-1.416292293
4/21/2010,-1.477887055
4/22/2010,-1.17589535
4/23/2010,-0.395374264
4/26/2010,-1.000955653
4/27/2010,-0.537571291
4/28/2010,-0.023539442
4/29/2010,-0.818560362
4/30/2010,-0.774460286
5/3/2010,-0.950624454
5/4/2010,-0.909274772
5/5/2010,-0.307477303
5/6/2010,0.370657764
5/7/2010,0.911444819
5/10/2010,0.890209159
5/11/2010,0.223345507
5/12/2010,-0.135787183
5/13/2010,-0.452351423
5/14/2010,-0.009771307
5/17/2010,0.317312862
5/18/2010,0.326867392
5/19/2010,0.714917389
5/20/2010,0.640593862
5/21/2010,0.64063073
5/24/2010,-0.092589727
5/25/2010,0.031999247
5/26/2010,-0.06425433
5/27/2010,0.175305337
5/28/2010,0.154852869
5/31/2010,-0.9804859
6/1/2010,-0.105465403
6/2/2010,-0.104714696
6/3/2010,-0.473161923
6/4/2010,0.140647625
6/7/2010,-0.204774377
6/8/2010,-0.34682678
6/9/2010,-0.63379495
6/10/2010,-0.151534496
6/11/2010,-0.591522144
6/14/2010,-0.404616201
6/15/2010,-0.559233777
6/16/2010,-0.789010934
6/17/2010,-0.620531255
6/18/2010,-1.141211513
6/21/2010,-0.434111043
6/22/2010,-0.643189237
6/23/2010,-0.755888651
6/24/2010,-0.640350392
6/25/2010,-0.901504062
6/28/2010,-1.067705119
6/29/2010,-0.775110793
6/30/2010,-0.52373379
7/1/2010,-0.274048202
7/2/2010,-0.732809244
7/5/2010,-1.811471965
7/6/2010,-0.594632555
7/7/2010,-0.86290568
7/8/2010,-0.864773822
7/9/2010,-1.191208197
7/12/2010,-1.362676481
7/13/2010,-0.726406606
7/14/2010,-0.788012044
7/15/2010,-0.653634648
7/16/2010,-0.771332062
7/19/2010,-0.838118349
7/20/2010,-0.785189829
7/21/2010,-0.583923271
7/22/2010,-0.789796467
7/23/2010,-0.16429308
7/26/2010,-0.651574377
7/27/2010,-0.644292458
7/28/2010,-1.185930503
7/29/2010,-1.139270264
7/30/2010,-0.886784594
8/2/2010,-1.118911071
8/3/2010,-1.238489979
8/4/2010,-1.121847276
8/5/2010,-1.027109598
8/6/2010,-0.949663138
8/9/2010,-1.668046118
8/10/2010,-0.387192576
8/11/2010,-0.403778437
8/12/2010,-0.290506541
8/13/2010,-0.512008115
8/16/2010,-0.64039228
8/17/2010,-0.875981173
8/18/2010,-0.874119624
8/19/2010,-0.531133302
8/20/2010,-0.7163814
8/23/2010,-1.078479139
8/24/2010,-0.608614815
8/25/2010,-0.721367469
8/26/2010,-0.529793089
8/27/2010,-0.891832327
