model,horizon,MSE,MAE,QLIKE
HAR-RV,1,0.280265594053421,0.4008817582447717,0.177217108283983
LSTM,1,0.2958,0.4063,0.192
HAR-LSTM,1,0.2821,0.4009,0.18
ModernTCN,1,0.28866201639175415,0.3964892625808716,0.19402503967285156
HAR-ModernTCN,1,0.2826,0.3994,0.1806
HAR-RV,5,0.1283448818438204,0.2779586449390015,0.0694005451165957
LSTM,5,0.1337,0.2792,0.0723
HAR-LSTM,5,0.1287,0.2776,0.0696
ModernTCN,5,0.14694443345069885,0.30654317140579224,0.07466338574886322
HAR-ModernTCN,5,0.1305,0.2777,0.0709
HAR-RV,22,0.1125495028966473,0.2706399563267302,0.0583454354378655
LSTM,22,0.1454,0.306,0.067
HAR-LSTM,22,0.1216,0.2839,0.0608
ModernTCN,22,0.12787708640098572,0.28973403573036194,0.07089309394359589
HAR-ModernTCN,22,0.1268,0.2919,0.0616
