number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dim,params_dropout,params_event_dim,params_ffn_ratio,params_head_dropout,params_large_size,params_learning_rate,params_num_blocks,params_patch_size,params_patch_stride,params_revin,params_seq_len,params_small_size,state
0,0.09186828136444092,2026-07-06 19:00:11.122971,2026-07-06 19:00:51.505880,0 days 00:00:40.382909,64,64,0.291852008161989,16,3,0.23815673679605814,27,0.00035763762396944974,1,4,4,1,35,7,COMPLETE
1,,2026-07-06 19:00:51.542043,2026-07-06 19:02:27.552548,0 days 00:01:36.010505,256,256,0.03191824943020566,4,2,0.20722058912687585,51,9.925050980411863e-05,3,16,2,0,180,7,FAIL
2,0.0918659120798111,2026-07-06 19:09:09.137432,2026-07-06 19:09:51.017990,0 days 00:00:41.880558,64,64,0.291852008161989,16,3,0.23815673679605814,27,0.00035763762396944974,1,4,4,1,35,7,COMPLETE
3,0.12268759310245514,2026-07-06 19:09:51.050662,2026-07-06 19:13:41.512431,0 days 00:03:50.461769,256,256,0.03191824943020566,4,2,0.20722058912687585,51,9.925050980411863e-05,3,16,2,0,180,7,COMPLETE
4,0.12276862561702728,2026-07-06 19:13:41.533172,2026-07-06 19:14:10.863737,0 days 00:00:29.330565,256,64,0.32427273968312137,16,4,0.17166330643098365,13,0.0007377546551050726,2,8,8,1,180,5,COMPLETE
5,inf,2026-07-06 19:14:10.880433,2026-07-06 19:16:59.240121,0 days 00:02:48.359688,512,256,0.2953483415211873,16,3,0.4272670540626873,13,0.0007906148915498253,2,16,8,1,180,3,COMPLETE
6,inf,2026-07-06 19:16:59.313174,2026-07-06 19:17:35.973432,0 days 00:00:36.660258,512,64,0.47008273374161524,4,1,0.035242694984015666,51,0.0009286704262430221,3,16,4,0,70,3,COMPLETE
7,0.16967616975307465,2026-07-06 19:17:35.992824,2026-07-06 19:18:52.078465,0 days 00:01:16.085641,256,256,0.4378021490975351,4,4,0.13137477466781855,51,0.0009054380723412238,3,4,4,0,70,7,COMPLETE
8,0.09012662619352341,2026-07-06 19:18:52.094837,2026-07-06 19:19:13.433807,0 days 00:00:21.338970,128,32,0.25497861028142726,16,3,0.4446755337497178,51,0.0001600770512713601,2,32,8,1,22,3,COMPLETE
9,0.388629674911499,2026-07-06 19:19:13.460960,2026-07-06 19:19:26.878814,0 days 00:00:13.417854,128,64,0.3232662591190832,16,3,0.4396666605099492,13,0.001863698341070448,2,32,2,0,22,3,COMPLETE
10,0.09025033563375473,2026-07-06 19:19:26.898404,2026-07-06 19:19:47.300901,0 days 00:00:20.402497,256,32,0.23462532858725177,8,2,0.3815139085978967,13,0.00946258171025473,3,4,8,1,35,3,COMPLETE
11,0.1048656776547432,2026-07-06 19:19:47.317384,2026-07-06 19:19:57.873354,0 days 00:00:10.555970,128,32,0.06574214397202527,8,1,0.33503118022506473,31,1.3758372295817192e-05,1,32,8,1,22,5,PRUNED
12,0.10007986426353455,2026-07-06 19:19:57.891902,2026-07-06 19:20:12.756019,0 days 00:00:14.864117,128,32,0.16137660577244617,8,2,0.4968645215163061,31,0.00976069140606663,2,32,8,1,35,3,PRUNED
13,0.09965541958808899,2026-07-06 19:20:12.779103,2026-07-06 19:20:23.645046,0 days 00:00:10.865943,256,32,0.18647771755476167,8,2,0.34278344096249874,13,0.008121076791370361,3,8,8,1,22,3,PRUNED
14,0.10075237601995468,2026-07-06 19:20:23.665086,2026-07-06 19:20:39.401132,0 days 00:00:15.736046,128,128,0.18957581169872495,8,2,0.33453844616670836,51,3.3421216903743966e-05,2,4,8,1,22,3,PRUNED
15,0.08833744376897812,2026-07-06 19:20:39.420128,2026-07-06 19:20:58.869504,0 days 00:00:19.449376,256,32,0.11137920701628785,8,3,0.4125830213684246,13,0.003952307478456322,3,32,8,1,35,3,COMPLETE
16,0.08696234226226807,2026-07-06 19:20:58.893433,2026-07-06 19:21:37.204384,0 days 00:00:38.310951,128,32,0.09690234411630594,16,4,0.4762786328768379,51,7.598184714057587e-05,2,32,8,1,22,3,COMPLETE
17,0.09429655969142914,2026-07-06 19:21:37.229051,2026-07-06 19:22:24.261144,0 days 00:00:47.032093,64,128,0.10036550093710797,8,4,0.4956523060189257,31,0.002616716871927636,3,32,2,1,35,5,COMPLETE
18,,2026-07-06 19:22:24.278844,2026-07-06 19:22:27.627752,0 days 00:00:03.348908,512,32,0.002923752661472226,8,4,0.38285561238135496,27,5.438033436616313e-05,1,32,8,1,70,3,PRUNED
19,1.4917463064193726,2026-07-06 19:22:27.652008,2026-07-06 19:22:32.461385,0 days 00:00:04.809377,256,32,0.11508066958939969,16,4,0.28684981658988695,51,1.9948908103357284e-05,2,32,8,0,22,3,PRUNED
20,0.0871400237083435,2026-07-06 19:22:32.479371,2026-07-06 19:22:59.460093,0 days 00:00:26.980722,128,32,0.12645358687948632,4,3,0.4035767589877146,13,0.00310034149608182,3,32,2,1,35,5,COMPLETE
21,0.1055544838309288,2026-07-06 19:22:59.476581,2026-07-06 19:23:33.059106,0 days 00:00:33.582525,128,128,0.14894805086145124,4,4,0.4987806968125068,13,0.0001821302111885039,2,8,2,1,35,5,PRUNED
22,0.08635931462049484,2026-07-06 19:23:33.079102,2026-07-06 19:24:00.344995,0 days 00:00:27.265893,128,32,0.08040169239816805,4,3,0.3976034379252718,13,0.003907616703302704,3,32,2,1,35,5,COMPLETE
