number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout,params_head_dropout,params_hidden_size,params_learning_rate,params_num_layers,params_pct_start,params_revin,params_seq_len,user_attrs_best_epoch,user_attrs_setting,state
0,0.0726269210378329,2026-07-06 15:42:57.049439,2026-07-06 15:43:06.909447,0 days 00:00:09.860008,128,True,0.39215506607056133,0.04844719796243041,32,0.0004828553942317002,2,0.28085809751582574,0,35,15.0,lstm_optuna_trial_0,COMPLETE
1,0.0850377157330513,2026-07-06 15:43:06.937847,2026-07-06 15:43:18.488822,0 days 00:00:11.550975,256,False,0.3360644675482562,0.3217424031718399,128,8.002134786698833e-05,1,0.1505270742248396,1,180,24.0,lstm_optuna_trial_1,COMPLETE
2,0.0754404217004776,2026-07-06 15:43:18.505084,2026-07-06 15:43:30.590738,0 days 00:00:12.085654,128,True,0.15257538606122972,0.15377173267570787,32,0.00014658802620363435,3,0.23289769949485928,0,70,20.0,lstm_optuna_trial_2,COMPLETE
3,inf,2026-07-06 15:43:30.607124,2026-07-06 15:43:38.348071,0 days 00:00:07.740947,512,True,0.3962473665578538,0.13706683887676363,32,0.00017855487144747845,2,0.3326505781930913,1,70,-1.0,lstm_optuna_trial_3,COMPLETE
4,0.07534074038267136,2026-07-06 15:43:38.364166,2026-07-06 15:43:45.103247,0 days 00:00:06.739081,128,True,0.4399684608973296,0.2480050259840607,32,0.0002476275636254163,3,0.4280008107793333,1,22,9.0,lstm_optuna_trial_4,COMPLETE
5,inf,2026-07-06 15:43:45.122436,2026-07-06 15:45:50.048481,0 days 00:02:04.926045,512,True,0.42899472392380444,0.14837012185162118,256,6.310149649514489e-05,3,0.1269927553156731,0,180,-1.0,lstm_optuna_trial_5,COMPLETE
6,0.08028907825549443,2026-07-06 15:45:50.065251,2026-07-06 15:46:26.142103,0 days 00:00:36.076852,128,True,0.43420585280412244,0.208209803005783,256,1.7789669149290467e-05,2,0.44494124192269113,1,70,20.0,lstm_optuna_trial_6,COMPLETE
7,0.07212602134261813,2026-07-06 15:46:26.166490,2026-07-06 15:46:44.681895,0 days 00:00:18.515405,64,False,0.36812940779127545,0.0638611079970961,128,0.0001788067761507069,2,0.4583891681688176,0,180,19.0,lstm_optuna_trial_7,COMPLETE
8,0.07713350760085243,2026-07-06 15:46:44.706851,2026-07-06 15:46:57.023664,0 days 00:00:12.316813,64,True,0.33572662936687375,0.2936292837896844,128,6.3557089537986e-05,1,0.39540253227193,1,22,14.0,lstm_optuna_trial_8,COMPLETE
9,0.0789238636692365,2026-07-06 15:46:57.039587,2026-07-06 15:47:01.620994,0 days 00:00:04.581407,128,True,0.1358804134928534,0.3148421311727019,64,0.00423460488896987,1,0.35122113640584396,1,22,5.0,lstm_optuna_trial_9,COMPLETE
10,0.0703093127480575,2026-07-06 15:47:01.636655,2026-07-06 15:47:16.231423,0 days 00:00:14.594768,64,False,0.037650630001660856,0.49335594274110217,128,0.00586645653525294,2,0.49729204252119263,0,180,13.0,lstm_optuna_trial_10,COMPLETE
11,0.0735219871359212,2026-07-06 15:47:16.268355,2026-07-06 15:47:23.667769,0 days 00:00:07.399414,64,False,0.01788796720472574,0.487202780010062,128,0.008090843703280831,2,0.4928992887011414,0,180,3.0,lstm_optuna_trial_11,COMPLETE
12,0.06864993699959346,2026-07-06 15:47:23.684050,2026-07-06 15:47:44.751969,0 days 00:00:21.067919,64,False,0.208150635738998,0.49826644670202075,128,0.0020233953093235567,2,0.49631150063450213,0,180,25.0,lstm_optuna_trial_12,COMPLETE
13,0.06867128876703125,2026-07-06 15:47:44.777394,2026-07-06 15:48:03.098991,0 days 00:00:18.321597,64,False,0.22533284743988613,0.4971664188641924,128,0.0018445946869210706,2,0.4927439736944908,0,180,19.0,lstm_optuna_trial_13,COMPLETE
14,0.06826532525675637,2026-07-06 15:48:03.116074,2026-07-06 15:48:19.038904,0 days 00:00:15.922830,64,False,0.2476535643901634,0.4273648090742475,64,0.001580616134757212,2,0.387735652175623,0,35,27.0,lstm_optuna_trial_14,COMPLETE
15,0.19476446509361267,2026-07-06 15:48:19.064558,2026-07-06 15:48:20.961191,0 days 00:00:01.896633,256,False,0.26674832288387834,0.41017152335324514,64,0.00127852037140831,3,0.37755601025232777,0,35,,lstm_optuna_trial_15,PRUNED
16,0.06898527485983712,2026-07-06 15:48:20.976236,2026-07-06 15:48:30.249814,0 days 00:00:09.273578,64,False,0.23765582199836885,0.4115577986562624,64,0.0012632524040861466,1,0.2554579615788702,0,35,11.0,lstm_optuna_trial_16,COMPLETE
17,0.06380621077758926,2026-07-06 15:48:30.270682,2026-07-06 15:48:45.706481,0 days 00:00:15.435799,64,False,0.15123290526115724,0.4032917494626654,64,0.0033310105653510044,2,0.3092694906843111,0,35,23.0,lstm_optuna_trial_17,COMPLETE
18,0.073821593608175,2026-07-06 15:48:45.732870,2026-07-06 15:49:01.349896,0 days 00:00:15.617026,64,False,0.09486542149942917,0.39384383416971513,64,0.0005436072286618989,3,0.30795702820842485,0,35,,lstm_optuna_trial_18,PRUNED
19,,2026-07-06 15:49:01.365411,2026-07-06 15:49:02.749066,0 days 00:00:01.383655,512,False,0.17932552607674754,0.36525597486765105,64,0.0036887185774309296,1,0.19212736898552984,0,35,,lstm_optuna_trial_19,PRUNED
20,1.1345463991165161,2026-07-06 15:49:02.763030,2026-07-06 15:49:04.548244,0 days 00:00:01.785214,256,False,0.2825855435049752,0.43413864456102624,64,0.000596066175675048,2,0.39146036700115194,0,35,,lstm_optuna_trial_20,PRUNED
21,0.06388505069272858,2026-07-06 15:49:04.562613,2026-07-06 15:49:20.533759,0 days 00:00:15.971146,64,False,0.20532347774453502,0.4495196314487304,64,0.0025291721971717513,2,0.2995362656229087,0,35,23.0,lstm_optuna_trial_21,COMPLETE
22,0.06440953644258636,2026-07-06 15:49:20.550767,2026-07-06 15:49:35.794758,0 days 00:00:15.243991,64,False,0.09431514512777128,0.4452869033660478,64,0.002427484013757519,2,0.3062562756306388,0,35,29.0,lstm_optuna_trial_22,COMPLETE
23,0.06386778077908925,2026-07-06 15:49:35.811533,2026-07-06 15:49:51.122017,0 days 00:00:15.310484,64,False,0.08446486069710252,0.3703018415455892,64,0.003087067807343872,2,0.3007565100623621,0,35,23.0,lstm_optuna_trial_23,COMPLETE
24,0.06422920471855573,2026-07-06 15:49:51.138200,2026-07-06 15:50:06.492951,0 days 00:00:15.354751,64,False,0.08288082255567615,0.360489915733321,64,0.0032328122855961924,2,0.22407184664436647,0,35,23.0,lstm_optuna_trial_24,COMPLETE
25,0.07250905303018433,2026-07-06 15:50:06.509338,2026-07-06 15:50:12.680269,0 days 00:00:06.170931,64,False,0.14384811215283175,0.3647662138519103,64,0.009327822954195722,2,0.2913408484238209,0,35,3.0,lstm_optuna_trial_25,COMPLETE
26,0.07075576909950801,2026-07-06 15:50:12.697344,2026-07-06 15:50:28.621759,0 days 00:00:15.924415,64,False,0.05759334802827033,0.2717190754204734,256,0.0008083546170536346,3,0.3474085021300586,0,35,13.0,lstm_optuna_trial_26,COMPLETE
27,0.06119869702628681,2026-07-06 15:50:28.645521,2026-07-06 15:50:42.212954,0 days 00:00:13.567433,64,False,0.18651076792722923,0.4597906010603815,64,0.005989154307550601,1,0.26841647669011953,0,35,20.0,lstm_optuna_trial_27,COMPLETE
28,0.07107117027044296,2026-07-06 15:50:42.238205,2026-07-06 15:50:48.702497,0 days 00:00:06.464292,256,False,0.1183982935453273,0.3350040155544265,64,0.0059257650118422454,1,0.25432693512399546,0,35,13.0,lstm_optuna_trial_28,COMPLETE
29,,2026-07-06 15:50:48.719527,2026-07-06 15:50:50.105991,0 days 00:00:01.386464,512,False,0.1845948349418322,0.3830272348398458,64,0.0009327561701680546,1,0.18367998435995037,0,35,,lstm_optuna_trial_29,PRUNED
30,0.06237238432679858,2026-07-06 15:50:50.120140,2026-07-06 15:51:03.782561,0 days 00:00:13.662421,64,False,0.058333143512970614,0.447240502667843,64,0.005883354270790779,1,0.2641597895966315,0,35,20.0,lstm_optuna_trial_30,COMPLETE
31,0.06101932589496885,2026-07-06 15:51:03.799338,2026-07-06 15:51:17.343689,0 days 00:00:13.544351,64,False,0.0018837412909121776,0.4578679268279434,64,0.0055298177092276786,1,0.25852659126705785,0,35,20.0,lstm_optuna_trial_31,COMPLETE
32,0.06177593767642975,2026-07-06 15:51:17.368571,2026-07-06 15:51:30.484146,0 days 00:00:13.115575,64,False,0.006173971525359244,0.4484643702909161,64,0.006659564875495569,1,0.26441550005155967,0,35,19.0,lstm_optuna_trial_32,COMPLETE
33,0.061119729919092994,2026-07-06 15:51:30.501159,2026-07-06 15:51:44.116540,0 days 00:00:13.615381,64,False,0.00030192236413753375,0.4608146356264808,64,0.005812183791808787,1,0.26428374878704564,0,35,20.0,lstm_optuna_trial_33,COMPLETE
34,0.09726671342338834,2026-07-06 15:51:44.133334,2026-07-06 15:51:48.600381,0 days 00:00:04.467047,64,False,6.601993155741503e-05,0.4695770666923971,32,0.009783752831051623,1,0.2211109222089308,1,70,,lstm_optuna_trial_34,PRUNED
35,0.0803142562508583,2026-07-06 15:51:48.619508,2026-07-06 15:51:51.803540,0 days 00:00:03.184032,256,False,0.03434525673403577,0.4602910553133729,32,0.0051962014358683676,1,0.18343887546611548,0,22,,lstm_optuna_trial_35,PRUNED
36,0.063681165377299,2026-07-06 15:51:51.819703,2026-07-06 15:52:02.314206,0 days 00:00:10.494503,128,False,0.004065606871511657,0.4739790244152976,256,0.007048061222197294,1,0.2706566649764138,0,70,15.0,lstm_optuna_trial_36,COMPLETE
37,,2026-07-06 15:52:02.330793,2026-07-06 15:52:03.753322,0 days 00:00:01.422529,512,True,0.47138432569049105,0.4276279881746321,64,0.004435807100238549,1,0.23960561449932638,0,35,,lstm_optuna_trial_37,PRUNED
38,0.09509161221129554,2026-07-06 15:52:03.767896,2026-07-06 15:52:06.728941,0 days 00:00:02.961045,64,False,0.055408453466238,0.00028218342926625284,64,1.4503752204966945e-05,1,0.21037393566724774,1,35,,lstm_optuna_trial_38,PRUNED
39,0.0877621794740359,2026-07-06 15:52:06.746473,2026-07-06 15:52:09.603220,0 days 00:00:02.856747,128,True,0.02893995464832906,0.3346382603038319,32,0.0076071520764534935,1,0.14494590553773823,1,70,,lstm_optuna_trial_39,PRUNED
40,0.07357162024293627,2026-07-06 15:52:09.617929,2026-07-06 15:52:14.965201,0 days 00:00:05.347272,64,False,0.11404309987346922,0.4681921694895712,256,0.004436922740441786,1,0.10628357639895442,0,22,1.0,lstm_optuna_trial_40,COMPLETE
41,0.06258361041545868,2026-07-06 15:52:14.981387,2026-07-06 15:52:28.581728,0 days 00:00:13.600341,64,False,0.06283942227489739,0.4525760830766247,64,0.0060926835760734465,1,0.2699893344166975,0,35,20.0,lstm_optuna_trial_41,COMPLETE
42,0.05997217712657792,2026-07-06 15:52:28.606406,2026-07-06 15:52:41.297789,0 days 00:00:12.691383,64,False,0.00021377478950359723,0.42441616746357586,64,0.009677926780016733,1,0.33053091331262563,0,35,18.0,lstm_optuna_trial_42,COMPLETE
43,0.05997886721576963,2026-07-06 15:52:41.321762,2026-07-06 15:52:54.060138,0 days 00:00:12.738376,64,False,0.0011387259428086534,0.4096140720173782,64,0.009634662688257804,1,0.32859374112236384,0,35,18.0,lstm_optuna_trial_43,COMPLETE
44,0.0623865792793887,2026-07-06 15:52:54.077690,2026-07-06 15:53:05.608131,0 days 00:00:11.530441,64,True,0.03092584671831574,0.4169205398863328,64,0.009766479088285089,1,0.33478217768902824,0,35,14.0,lstm_optuna_trial_44,COMPLETE
45,1.8806190150124686,2026-07-06 15:53:05.625611,2026-07-06 15:53:08.527120,0 days 00:00:02.901509,64,False,0.31952666284616194,0.22822568351216058,64,2.9815957352190526e-05,1,0.33618599137094907,0,35,,lstm_optuna_trial_45,PRUNED
46,0.083668847878774,2026-07-06 15:53:08.542846,2026-07-06 15:53:11.938017,0 days 00:00:03.395171,128,False,0.022667808290529626,0.47843595087477025,64,0.004630047503559445,1,0.3652720168413766,1,22,,lstm_optuna_trial_46,PRUNED
47,0.07165106066635676,2026-07-06 15:53:11.953349,2026-07-06 15:53:18.577018,0 days 00:00:06.623669,64,True,0.051640911404251005,0.3914974094232909,64,0.0024969502745864885,1,0.3182406885386351,0,35,4.0,lstm_optuna_trial_47,COMPLETE
48,,2026-07-06 15:53:18.594474,2026-07-06 15:53:20.075273,0 days 00:00:01.480799,512,False,0.3916435622887614,0.1200140519277299,32,0.007772506995458884,1,0.4178694112431009,0,180,,lstm_optuna_trial_48,PRUNED
49,0.08126507539834295,2026-07-06 15:53:20.089512,2026-07-06 15:53:24.088209,0 days 00:00:03.998697,64,False,0.1161925666222679,0.34470784384253284,128,0.0002897141622256198,1,0.3227609279515826,0,35,,lstm_optuna_trial_49,PRUNED
