number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dim,params_dropout,params_ffn_ratio,params_head_dropout,params_large_size,params_learning_rate,params_num_blocks,params_patch_size,params_patch_stride,params_revin,params_seq_len,params_small_size,state
0,0.09461570531129837,2026-07-06 17:37:21.100176,2026-07-06 17:37:56.177828,0 days 00:00:35.077652,64,64,0.291852008161989,3,0.23815673679605814,27,0.00035763762396944974,1,4,4,1,35,7,COMPLETE
1,inf,2026-07-06 17:37:56.206101,2026-07-06 17:38:06.543546,0 days 00:00:10.337445,512,32,0.19434974952326384,3,0.32380707175110435,27,0.00350668976908996,1,16,4,1,70,7,COMPLETE
2,0.09255675226449966,2026-07-06 17:38:06.561091,2026-07-06 17:38:39.230928,0 days 00:00:32.669837,64,32,0.41163895494390906,2,0.27845522191686917,31,0.0014305501212271464,1,16,4,1,35,5,COMPLETE
3,0.6581600904464722,2026-07-06 17:38:39.254943,2026-07-06 17:39:01.673791,0 days 00:00:22.418848,256,128,0.3285813938142824,4,0.3759621314792384,51,1.5938434604644592e-05,2,8,4,0,70,7,COMPLETE
4,0.12646891176700592,2026-07-06 17:39:01.693712,2026-07-06 17:39:36.475525,0 days 00:00:34.781813,128,256,0.36812940779127545,4,0.0638611079970961,31,0.0006739423525182524,2,16,2,0,180,5,COMPLETE
5,0.18334688246250153,2026-07-06 17:39:36.492899,2026-07-06 17:40:01.066643,0 days 00:00:24.573744,256,64,0.374526061545389,2,0.14621593305583735,27,0.00010681155397985272,3,8,4,0,180,5,COMPLETE
6,0.41687873005867004,2026-07-06 17:40:01.083813,2026-07-06 17:40:20.962245,0 days 00:00:19.878432,128,128,0.11064386357544315,4,0.39791512970814935,31,4.199840739184541e-05,1,8,2,0,35,5,COMPLETE
7,0.3808230459690094,2026-07-06 17:40:20.979429,2026-07-06 17:40:50.032359,0 days 00:00:29.052930,128,128,0.03024048018544978,4,0.38139464821825203,31,2.694702095461319e-05,2,8,8,0,180,3,COMPLETE
8,0.40626418590545654,2026-07-06 17:40:50.052223,2026-07-06 17:41:19.659833,0 days 00:00:29.607610,128,128,0.03839956196147254,3,0.4198591726758106,13,7.463254342348514e-05,3,4,2,0,180,5,COMPLETE
9,inf,2026-07-06 17:41:19.677453,2026-07-06 17:41:53.240311,0 days 00:00:33.562858,512,256,0.2609338345171348,2,0.3136205753132437,27,0.0006257461452214479,3,32,2,0,35,3,COMPLETE
10,0.09377854317426682,2026-07-06 17:41:53.296105,2026-07-06 17:42:21.849066,0 days 00:00:28.552961,64,32,0.49436162477214607,1,0.4953795939149921,13,0.005094586577780977,2,16,8,1,22,5,COMPLETE
11,0.09550467878580093,2026-07-06 17:42:21.865950,2026-07-06 17:42:38.369546,0 days 00:00:16.503596,64,32,0.49326752721461425,1,0.49090625520977044,13,0.00910776997402062,2,16,8,1,22,5,COMPLETE
12,0.09302316606044769,2026-07-06 17:42:38.385517,2026-07-06 17:43:04.134836,0 days 00:00:25.749319,64,32,0.49709499822707953,1,0.2075012269600648,13,0.00232114607304776,1,16,8,1,22,5,COMPLETE
13,0.09214005619287491,2026-07-06 17:43:04.151629,2026-07-06 17:43:16.340733,0 days 00:00:12.189104,64,32,0.4205140762350744,2,0.20805765077865385,51,0.0019437910960201981,1,16,8,1,22,5,COMPLETE
